word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
premium,noun,/ˈpriːmiəm/,保险费,,insurance premium;agio;agiotage;exchange premium;bounty,,value | charge | bonus;prize | reward | hypernyms:payment;value;charge;bonus;prize;reward,,,六级词汇
premium,noun,/ˈpriːmiəm/,稀缺物品超出其名义价值的溢价；他们为获取水源支付了额外费用。,,insurance premium;agio;agiotage;exchange premium;bounty,,value | charge | bonus;prize | reward | hypernyms:payment;value;charge;bonus;prize;reward,,,六级词汇
prerequisite,noun,/ˌpriːˈrekwəzɪt/,事先必需的条件；拉丁语曾是入学的先决条件。,,requirement,,hypernyms:duty | hyponyms:academic requirement;essential condition;precondition,,,六级词汇
prestige,noun,/prɛˈstiːʒ/,通过成功、影响力或财富等获得的高尚地位；他渴望获得权力与声望。,,prestigiousness,,hypernyms:standing,,,六级词汇
pretext,noun,/ˈpriːtɛkst/,掩饰计划的手段；为掩盖真实原因而编造的借口。,,stalking-horse;guise;pretense;pretence,,semblance | hypernyms:pretense;semblance | hyponyms:putoff,,,六级词汇
prey,noun,/preɪ/,猎物,,quarry;target;fair game,,animal | hypernyms:victim;animal,,,六级词汇
prey,noun,/preɪ/,攻击的目标（尤其是嘲笑或剥削的受害者）；他成了抢劫者的猎物；人人都可能成为目标；追捕的对象。,,quarry;target;fair game,,animal | hypernyms:victim;animal,,,六级词汇
probe,noun,prəʊb,使用柔性手术器械探查损伤或体腔的检查,,investigation,,surgical instrument | exploration | research | hypernyms:inquiry;surgical instrument;exploration;research | hyponyms:fishing expedition,,,六级词汇
probe,noun,prəʊb,探索行动或远征,,investigation,,surgical instrument | exploration | research | hypernyms:inquiry;surgical instrument;exploration;research | hyponyms:fishing expedition,,,六级词汇
probe,noun,prəʊb,一种末端钝圆的柔性细长手术器械，用于探查伤口或体腔。,,investigation,,surgical instrument | exploration | research | hypernyms:inquiry;surgical instrument;exploration;research | hyponyms:fishing expedition,,,六级词汇
probe,noun,prəʊb,对陌生或可疑活动的调查；国会对此丑闻进行了调查。,,investigation,,surgical instrument | exploration | research | hypernyms:inquiry;surgical instrument;exploration;research | hyponyms:fishing expedition,,,六级词汇
profile,noun,/ˈprəʊfaɪl/,个人简介,,visibility,,side view | biography | salience | cross section | low profile | soil profile | hypernyms:chart;side view;biography;salience;cross section | hyponyms:population profile;low profile;soil profile,,,六级词汇
profile,noun,/ˈprəʊfaɪl/,（常以图表形式呈现的）分析，用以展示某物在各项特征上的表现程度；血液生化指标分析；连环杀手的心理特征分析,,visibility,,side view | biography | salience | cross section | low profile | soil profile | hypernyms:chart;side view;biography;salience;cross section | hyponyms:population profile;low profile;soil profile,,,六级词汇
profile,noun,/ˈprəʊfaɪl/,地球地壳垂直剖面图，展示不同地层或岩层,,visibility,,side view | biography | salience | cross section | low profile | soil profile | hypernyms:chart;side view;biography;salience;cross section | hyponyms:population profile;low profile;soil profile,,,六级词汇
profile,noun,/ˈprəʊfaɪl/,轮廓（尤指从侧面看到的人脸）,,visibility,,side view | biography | salience | cross section | low profile | soil profile | hypernyms:chart;side view;biography;salience;cross section | hyponyms:population profile;low profile;soil profile,,,六级词汇
prop,noun,prɒp,支撑物,,property;airplane propeller;airscrew,,object | propeller | custard pie | hypernyms:support;object;propeller | hyponyms:pitprop;custard pie,,,六级词汇
propaganda,noun,/prɒpəˈɡændə/,为推广某种事业而传播的信息,,,,hypernyms:information | hyponyms:agitprop,,,六级词汇
protocol,noun,/ˈprəʊtəkɒl/,行为准则；安全规程；学术规范,,communications protocol,,etiquette | code of conduct | hypernyms:rule;etiquette;code of conduct | hyponyms:file transfer protocol;hypertext transfer protocol;musical instrument digital interface;transmission control protocol;transmission control protocol/internet protocol,,,六级词汇
protocol,noun,/ˈprəʊtəkɒl/,外交礼仪与国事仪式,,communications protocol,,etiquette | code of conduct | hypernyms:rule;etiquette;code of conduct | hyponyms:file transfer protocol;hypertext transfer protocol;musical instrument digital interface;transmission control protocol;transmission control protocol/internet protocol,,,六级词汇
protocol,noun,/ˈprəʊtəkɒl/,（计算机科学）数据格式与传输规则,,communications protocol,,etiquette | code of conduct | hypernyms:rule;etiquette;code of conduct | hyponyms:file transfer protocol;hypertext transfer protocol;musical instrument digital interface;transmission control protocol;transmission control protocol/internet protocol,,,六级词汇
prototype,noun,/ˈprəʊtətaɪp/,标准或典型范例；他是良好教养的典范；他为美国树立了好父亲的形象。,,paradigm;epitome;image,,hypernyms:model | hyponyms:concentrate;imago,,,六级词汇
psychiatry,noun,/saɪˈkaɪətri/,精神病学,,psychopathology;psychological medicine,,hypernyms:medicine | hyponyms:alienism;psychotherapy,,,六级词汇
pudding,noun,ˈpʊdɪŋ,各种软甜点，通常以面粉增稠，可烘烤、煮沸或蒸制。,,pud,,dessert | trifle | brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding | hypernyms:dish;dessert | hyponyms:carrot pudding;corn pudding;trifle;brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding,,,六级词汇
pudding,noun,ˈpʊdɪŋ,甜点（非正式场合用“pud”）,,pud,,dessert | trifle | brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding | hypernyms:dish;dessert | hyponyms:carrot pudding;corn pudding;trifle;brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding,,,六级词汇
pudding,noun,ˈpʊdɪŋ,各种软厚无糖烘焙菜肴；玉米布丁,,pud,,dessert | trifle | brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding | hypernyms:dish;dessert | hyponyms:carrot pudding;corn pudding;trifle;brown betty;chocolate pudding;duff;flummery;nesselrode;pease pudding;plum pudding;roly-poly;steamed pudding;suet pudding;tapioca pudding;vanilla pudding,,,六级词汇
pumpkin,noun,/ˈpʌmpkɪn/,通常为大型、多肉、深黄色、圆形的南瓜科果实，夏末或初秋成熟。,,pumpkin vine;autumn pumpkin;Cucurbita pepo,,vegetable | hypernyms:squash;vegetable,,,六级词汇
pumpkin,noun,/ˈpʌmpkɪn/,一种粗藤植物，因其硕大多汁、果皮坚实呈橙色且籽多的圆形果实而被广泛种植；它是西葫芦（Cucurbita pepo）的亚种，包括夏南瓜和部分秋南瓜。,,pumpkin vine;autumn pumpkin;Cucurbita pepo,,vegetable | hypernyms:squash;vegetable,,,六级词汇
pyramid,noun,/ˈpɪrəmɪd/,（股市）投机者利用持仓市值上涨作为追加保证金，通过一系列交易增持头寸。,,Pyramid;Great Pyramid;Pyramids of Egypt,,speculation | hypernyms:polyhedron;speculation,,,六级词汇
pyramid,noun,/ˈpɪrəmɪd/,具有多边形底面和共顶点的三角形侧面的多面体,,Pyramid;Great Pyramid;Pyramids of Egypt,,speculation | hypernyms:polyhedron;speculation,,,六级词汇
quart,noun,kwɔːt,一加仑等于四夸脱，相当于32液盎司的美国液量单位。,,dry quart,,british capacity unit | united states dry unit | hypernyms:united states liquid unit;british capacity unit;united states dry unit,,,六级词汇
quart,noun,kwɔːt,美国干量单位，等于2品脱或67.2立方英寸。,,dry quart,,british capacity unit | united states dry unit | hypernyms:united states liquid unit;british capacity unit;united states dry unit,,,六级词汇
quart,noun,kwɔːt,英制容量单位（液量或干量），等于2品脱或1.136升。,,dry quart,,british capacity unit | united states dry unit | hypernyms:united states liquid unit;british capacity unit;united states dry unit,,,六级词汇
quest,noun,kwɛst,寻找钻石的行为；对钻石的追求,,pursuit;pursuance;seeking,,search | hypernyms:search | hyponyms:wild-goose chase,,,六级词汇
quiver,noun,/ˈkwɪvə/,箭袋,,frisson;shiver;chill;shudder;thrill;tingle;shaking;shakiness;trembling;quivering;vibration;palpitation,,motion | case | tremor | hypernyms:fear;motion;case | hyponyms:tremolo;tremor,,,六级词汇
ranch,noun,rɑːntʃ,大型牧场，包括大片土地及饲养牲畜（特别是牛）所需的设施。,,spread;cattle ranch;cattle farm,,hypernyms:farm,,,六级词汇
rap,noun,ɹæp,20世纪80至90年代的非裔美国人音乐流派，以押韵歌词配乐吟唱为特色；衍生出多种说唱形式。,,blame;strike;tap;pat;rap music;hip-hop;knock;belt;whack;whang,,blow | sound | conversation | black music;popular music | hypernyms:reproach;blow;sound;conversation;black music;popular music | hyponyms:pitter-patter,,,六级词汇
rap,noun,ɹæp,健谈的对话,,blame;strike;tap;pat;rap music;hip-hop;knock;belt;whack;whang,,blow | sound | conversation | black music;popular music | hypernyms:reproach;blow;sound;conversation;black music;popular music | hyponyms:pitter-patter,,,六级词汇
rap,noun,ɹæp,轻轻一吹,,blame;strike;tap;pat;rap music;hip-hop;knock;belt;whack;whang,,blow | sound | conversation | black music;popular music | hypernyms:reproach;blow;sound;conversation;black music;popular music | hyponyms:pitter-patter,,,六级词汇
rape,noun,/ɹeɪp/,强迫他人违背意愿发生性关系的罪行,,colza;Brassica napus;rapine;violation;assault;ravishment,,plundering | sexual assault | hypernyms:mustard;plundering;sexual assault | hyponyms:date rape;statutory rape,,,六级词汇
rape,noun,/ɹeɪp/,战争中对国家的掠夺行为,,colza;Brassica napus;rapine;violation;assault;ravishment,,plundering | sexual assault | hypernyms:mustard;plundering;sexual assault | hyponyms:date rape;statutory rape,,,六级词汇
rape,noun,/ɹeɪp/,欧亚植物，因其种子和作为饲料作物而被栽培。,,colza;Brassica napus;rapine;violation;assault;ravishment,,plundering | sexual assault | hypernyms:mustard;plundering;sexual assault | hyponyms:date rape;statutory rape,,,六级词汇
rash,noun,ræʃ,一连串意外且不快的遭遇；一连串银行抢劫案；接二连三的诉讼。,,roseola;efflorescence;skin rash;blizzard,,series | hypernyms:eruption;series | hyponyms:prickly heat;urtication,,,六级词汇
rash,noun,ræʃ,皮肤红斑,,roseola;efflorescence;skin rash;blizzard,,series | hypernyms:eruption;series | hyponyms:prickly heat;urtication,,,六级词汇
ration,noun,/ˈræʃən/,每日伙食补助（尤指服务人员）；配给应营养均衡,,,,share | hypernyms:fare;share | hyponyms:field ration,,,六级词汇
ration,noun,/ˈræʃən/,定量配给（尤指物资短缺时期）,,,,share | hypernyms:fare;share | hyponyms:field ration,,,六级词汇
rattle,noun,/ˈɹætəl/,响尾蛇尾部松散连接的角质环,,rattling;rale,,plaything | tail | hypernyms:noise;plaything;tail | hyponyms:crepitation rale,,,六级词汇
rattle,noun,/ˈɹætəl/,婴儿摇铃玩具,,rattling;rale,,plaything | tail | hypernyms:noise;plaything;tail | hyponyms:crepitation rale,,,六级词汇
rattle,noun,/ˈɹætəl/,一连串急促而响亮的声音（如在某些呼吸系统疾病中用听诊器可能听到的）；临终喉鸣,,rattling;rale,,plaything | tail | hypernyms:noise;plaything;tail | hyponyms:crepitation rale,,,六级词汇
recipe,noun,/ˈrɛsɪpi/,制作指南,,formula,,hypernyms:direction,,,六级词汇
reciprocal,noun,/rɪˈsɪprəkəl/,风险与安全呈反比关系。,,multiplicative inverse;reciprocal cross,,inverse | hybridization | hypernyms:reciprocality;inverse;hybridization,,,六级词汇
reel,noun,/riːl/,苏格兰高地人的活泼舞蹈；以环形移动和滑步为特点。,,bobbin;spool;Scottish reel;Virginia reel,,dance music | winder | square dance | longways | eightsome;highland fling | hypernyms:film;dance music;winder;square dance;longways | hyponyms:filature;shuttle;eightsome;highland fling,,,六级词汇
reel,noun,/riːl/,绕线轮，由带手柄的旋转线轴组成；附于钓竿上。,,bobbin;spool;Scottish reel;Virginia reel,,dance music | winder | square dance | longways | eightsome;highland fling | hypernyms:film;dance music;winder;square dance;longways | hyponyms:filature;shuttle;eightsome;highland fling,,,六级词汇
reel,noun,/riːl/,一卷电影胶片，内含一系列待放映的画面帧。,,bobbin;spool;Scottish reel;Virginia reel,,dance music | winder | square dance | longways | eightsome;highland fling | hypernyms:film;dance music;winder;square dance;longways | hyponyms:filature;shuttle;eightsome;highland fling,,,六级词汇
reel,noun,/riːl/,为里尔舞谱写的音乐,,bobbin;spool;Scottish reel;Virginia reel,,dance music | winder | square dance | longways | eightsome;highland fling | hypernyms:film;dance music;winder;square dance;longways | hyponyms:filature;shuttle;eightsome;highland fling,,,六级词汇
referee,noun,/ˌrɛfəˈriː/,裁判员,,ref;reviewer;reader,,critic | lawyer | hypernyms:official;critic;lawyer | hyponyms:scanner,,,六级词汇
referee,noun,/ˌrɛfəˈriː/,法院指定的调查员,,ref;reviewer;reader,,critic | lawyer | hypernyms:official;critic;lawyer | hyponyms:scanner,,,六级词汇
referendum,noun,/ˌɹɛfəˈɹɛndəm/,立法法案需提交给选民进行全民公投以获最终批准。,,,,hypernyms:vote,,,六级词汇
refuge,noun,/ˈrɛfjuːdʒ/,避难所,,safety;recourse;resort;sanctuary;asylum,,resource | shelter | aid | shadow | harbor;safe house;safehold | hypernyms:area;resource;shelter;aid | hyponyms:harborage;shadow;harbor;safe house;safehold,,,六级词汇
refund,noun,/ˈriːfʌnd/,归还先前收到的款项,,repayment,,payment | hypernyms:payment | hyponyms:rebate,,,六级词汇
refund,noun,/ˈriːfʌnd/,退款给付款人,,repayment,,payment | hypernyms:payment | hyponyms:rebate,,,六级词汇
regiment,noun,/ˈrɛdʒɪmənt/,团,,,,hypernyms:army unit,,,六级词汇
reign,noun,/reɪn/,王权；君主的统治,,sovereignty,,historic period | dominion | scepter | hypernyms:time period;historic period;dominion | hyponyms:reign of terror;scepter,,,六级词汇
reign,noun,/reɪn/,亨利八世在位期间,,sovereignty,,historic period | dominion | scepter | hypernyms:time period;historic period;dominion | hyponyms:reign of terror;scepter,,,六级词汇
reign,noun,/reɪn/,在他自我主义统治的时期，他显得无能为力。,,sovereignty,,historic period | dominion | scepter | hypernyms:time period;historic period;dominion | hyponyms:reign of terror;scepter,,,六级词汇
rein,noun,/reɪn/,缰绳,,,,control | hypernyms:strap;control | hyponyms:bearing rein;leading rein,,,六级词汇
rein,noun,/reɪn/,他掌握了政府的控制权。,,,,control | hypernyms:strap;control | hyponyms:bearing rein;leading rein,,,六级词汇
relic,noun,/ˈrɛlɪk/,一件从远古流传至今的古物,,keepsake;souvenir;token,,object | love-token;party favor | hypernyms:antiquity;object | hyponyms:archeological remains;love-token;party favor,,,六级词汇
relish,noun,/ˈrɛlɪʃ/,咸味调料入口时的味觉体验,,gusto;zest;zestfulness;flavor;flavour;sapidity;savor;savour;smack;nip;tang,,condiment | taste | lemon;vanilla | hypernyms:enjoyment;enthusiasm;condiment;taste | hyponyms:chowchow;olive;piccalilli;pickle;pickle relish;lemon;vanilla,,,六级词汇
relish,noun,/ˈrɛlɪʃ/,辛辣或咸味调味品,,gusto;zest;zestfulness;flavor;flavour;sapidity;savor;savour;smack;nip;tang,,condiment | taste | lemon;vanilla | hypernyms:enjoyment;enthusiasm;condiment;taste | hyponyms:chowchow;olive;piccalilli;pickle;pickle relish;lemon;vanilla,,,六级词汇
repertoire,noun,/ˈrɛp.ə.twɑːr/,保留剧目,,repertory,,collection | hypernyms:collection,,,六级词汇
reproach,noun,/rɪˈprəʊtʃ/,温和的责备或批评；斥责之词,,,,shame | hypernyms:rebuke;shame | hyponyms:blame;self-reproach,,,六级词汇
reproach,noun,/rɪˈprəʊtʃ/,他给家族带来了耻辱。,,,,shame | hypernyms:rebuke;shame | hyponyms:blame;self-reproach,,,六级词汇
repute,noun,/ɹɪˈpjuːt/,备受尊敬与荣耀,,reputation,disrepute,hypernyms:honor | hyponyms:black eye;character;fame;name;stock,,,六级词汇
reservoir,noun,/ˈrɛzəvwɑː/,用于收集和储存液体（如水或油）的储罐,,artificial lake;man-made lake;source,,lake | tank | thing | hypernyms:supply;lake;tank;thing | hyponyms:cistern;sump;water tower,,,六级词汇
reservoir,noun,/ˈrɛzəvwɑː/,社区用水蓄水池,,artificial lake;man-made lake;source,,lake | tank | thing | hypernyms:supply;lake;tank;thing | hyponyms:cistern;sump;water tower,,,六级词汇
reservoir,noun,/ˈrɛzəvwɑː/,任何（人、动物、植物或物质）作为传染源通常生存和繁殖的场所；传染源依赖宿主以维持生存。,,artificial lake;man-made lake;source,,lake | tank | thing | hypernyms:supply;lake;tank;thing | hyponyms:cistern;sump;water tower,,,六级词汇
reservoir,noun,/ˈrɛzəvwɑː/,大量或额外的供应；人才储备,,artificial lake;man-made lake;source,,lake | tank | thing | hypernyms:supply;lake;tank;thing | hyponyms:cistern;sump;water tower,,,六级词汇
reshuffle,noun,/ˌriːˈʃʌfəl/,再次洗牌；赌徒要求重新洗牌。,,reshuffling,,shuffle | hypernyms:reallotment;shuffle,,,六级词汇
reshuffle,noun,/ˌriːˈʃʌfəl/,重新分配；内阁官员进行了改组。,,reshuffling,,shuffle | hypernyms:reallotment;shuffle,,,六级词汇
retort,noun,/rɪˈtɔːt/,用于蒸馏或加热分解物质的容器,,rejoinder;return;riposte;replication;comeback;counter,,vessel | alembic | hypernyms:reply;vessel | hyponyms:sass;alembic,,,六级词汇
retrospect,noun,/ˈɹɛtɹəspɛkt/,往事沉思；回首往事,,,,hypernyms:contemplation,,,六级词汇
rhetoric,noun,/ˈrɛtərɪk/,修辞学（尤指公开演讲中有效运用语言的技巧与规则研究）,,grandiosity;magniloquence;ornateness;grandiloquence;palaver;hot air;empty words;empty talk,,expressive style | nonsense | literary study | hypernyms:expressive style;nonsense;literary study | hyponyms:bombast;flourish,,,六级词汇
rhetoric,noun,/ˈrɛtərɪk/,运用语言巧妙取悦或说服他人,,grandiosity;magniloquence;ornateness;grandiloquence;palaver;hot air;empty words;empty talk,,expressive style | nonsense | literary study | hypernyms:expressive style;nonsense;literary study | hyponyms:bombast;flourish,,,六级词汇
ridge,noun,rɪdʒ,屋脊梁,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
ridge,noun,rɪdʒ,骨骼、牙齿或膜上任何长而隆起的边缘或脊。,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
ridge,noun,rɪdʒ,狭长的自然隆起或条纹,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
ridge,noun,rɪdʒ,狭长丘陵带,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
ridge,noun,rɪdʒ,海底狭长隆起,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
ridge,noun,rɪdʒ,任何长条状凸起,,ridgeline;ridgepole;rooftree,,convex shape | geological formation | process | beam | corrugation;raphe | arete;hogback | supraorbital ridge | hypernyms:natural elevation;convex shape;geological formation;process;beam | hyponyms:bank;bar;dune;esker;ledge;reef;ripple mark;corrugation;raphe;arete;hogback;supraorbital ridge,,,六级词汇
rig,noun,rɪɡ,特定企业所需设备（含必要机械）,,trailer truck;tractor trailer;trucking rig;articulated lorry;semi;rigging;outfit;getup;turnout;fishing gear;tackle;fishing tackle;fishing rig;carriage;equipage;swindle;cheat,,truck | formation | attire | gear | horse-drawn vehicle | fraud | tandem trailer | bermuda rig;cat rig;fore-and-aft rig;lateen-rig | bib-and-tucker;ensemble;playsuit;trousseau | barouche;brougham;buckboard;buggy;cab;caroche;chaise;chariot;clarence;coach;droshky;gharry;gig;hackney;hansom;landau;post chaise;stanhope;surrey;trap;troika | bunco;holdout;pyramiding;scam;shell game;swiz | hypernyms:gear;truck;formation;attire;horse-drawn vehicle;fraud | hyponyms:drill rig;tandem trailer;bermuda rig;cat rig;fore-and-aft rig;lateen-rig;bib-and-tucker;ensemble;playsuit;trousseau;barouche;brougham;buckboard;buggy;cab;caroche;chaise;chariot;clarence;coach;droshky;gharry;gig;hackney;hansom;landau;post chaise;stanhope;surrey;trap;troika;bunco;holdout;pyramiding;scam;shell game;swiz,,,六级词汇
rig,noun,rɪɡ,船舶桅杆、帆桁、帆具等的装配,,trailer truck;tractor trailer;trucking rig;articulated lorry;semi;rigging;outfit;getup;turnout;fishing gear;tackle;fishing tackle;fishing rig;carriage;equipage;swindle;cheat,,truck | formation | attire | gear | horse-drawn vehicle | fraud | tandem trailer | bermuda rig;cat rig;fore-and-aft rig;lateen-rig | bib-and-tucker;ensemble;playsuit;trousseau | barouche;brougham;buckboard;buggy;cab;caroche;chaise;chariot;clarence;coach;droshky;gharry;gig;hackney;hansom;landau;post chaise;stanhope;surrey;trap;troika | bunco;holdout;pyramiding;scam;shell game;swiz | hypernyms:gear;truck;formation;attire;horse-drawn vehicle;fraud | hyponyms:drill rig;tandem trailer;bermuda rig;cat rig;fore-and-aft rig;lateen-rig;bib-and-tucker;ensemble;playsuit;trousseau;barouche;brougham;buckboard;buggy;cab;caroche;chaise;chariot;clarence;coach;droshky;gharry;gig;hackney;hansom;landau;post chaise;stanhope;surrey;trap;troika;bunco;holdout;pyramiding;scam;shell game;swiz,,,六级词汇
rim,noun,/rɪm/,轮辋,,flange;brim;lip,,hoop | projection | edge | collar | hypernyms:boundary;round shape;hoop;projection;edge | hyponyms:felloe;collar,,,六级词汇
rim,noun,/rɪm/,篮筐（篮球）上悬挂篮网的部分；球击中篮筐边缘弹开。,,flange;brim;lip,,hoop | projection | edge | collar | hypernyms:boundary;round shape;hoop;projection;edge | hyponyms:felloe;collar,,,六级词汇
rim,noun,/rɪm/,凸起的边缘形状,,flange;brim;lip,,hoop | projection | edge | collar | hypernyms:boundary;round shape;hoop;projection;edge | hyponyms:felloe;collar,,,六级词汇
ritual,noun,/ˈrɪtʃuəl/,刻板行为,,rite,,practice | habit | ablution;celebration;communion | hypernyms:custom;practice;habit | hyponyms:betrothal;marriage;rite of passage;ablution;celebration;communion,,,六级词汇
ritual,noun,/ˈrɪtʃuəl/,任何习俗或惯例,,rite,,practice | habit | ablution;celebration;communion | hypernyms:custom;practice;habit | hyponyms:betrothal;marriage;rite of passage;ablution;celebration;communion,,,六级词汇
ritual,noun,/ˈrɪtʃuəl/,举行宗教仪式的规定程序,,rite,,practice | habit | ablution;celebration;communion | hypernyms:custom;practice;habit | hyponyms:betrothal;marriage;rite of passage;ablution;celebration;communion,,,六级词汇
rust,noun,/rʌst/,引起植物锈病的多种真菌,,rusting;rust fungus,,plant disease | corrosion;oxidation | fungus | apple rust;blister rust;flax rust;wheat rust | hypernyms:ferric oxide;plant disease;corrosion;oxidation;fungus | hyponyms:blister rust;apple rust;flax rust;wheat rust,,,六级词汇
rust,noun,/rʌst/,铁在低温有水条件下氧化形成红棕色氧化铁。,,rusting;rust fungus,,plant disease | corrosion;oxidation | fungus | apple rust;blister rust;flax rust;wheat rust | hypernyms:ferric oxide;plant disease;corrosion;oxidation;fungus | hyponyms:blister rust;apple rust;flax rust;wheat rust,,,六级词汇
rust,noun,/rʌst/,一种植物病害，导致叶片和茎部出现红褐色变色；由多种锈菌引起。,,rusting;rust fungus,,plant disease | corrosion;oxidation | fungus | apple rust;blister rust;flax rust;wheat rust | hypernyms:ferric oxide;plant disease;corrosion;oxidation;fungus | hyponyms:blister rust;apple rust;flax rust;wheat rust,,,六级词汇
rust,noun,/rʌst/,铁或钢因氧气和水分作用形成的红褐色氧化层。,,rusting;rust fungus,,plant disease | corrosion;oxidation | fungus | apple rust;blister rust;flax rust;wheat rust | hypernyms:ferric oxide;plant disease;corrosion;oxidation;fungus | hyponyms:blister rust;apple rust;flax rust;wheat rust,,,六级词汇
saddle,noun,/ˈsædəl/,家禽背部后侧,,saddleback;bicycle seat,,pass | cut | piece of leather | seat | body part | hypernyms:seat;pass;cut;piece of leather;body part | hyponyms:english saddle;packsaddle;sidesaddle;stock saddle,,,六级词汇
saddle,noun,/ˈsædəl/,骑手座位,,saddleback;bicycle seat,,pass | cut | piece of leather | seat | body part | hypernyms:seat;pass;cut;piece of leather;body part | hyponyms:english saddle;packsaddle;sidesaddle;stock saddle,,,六级词汇
saddle,noun,/ˈsædəl/,鞋面横跨的皮条,,saddleback;bicycle seat,,pass | cut | piece of leather | seat | body part | hypernyms:seat;pass;cut;piece of leather;body part | hyponyms:english saddle;packsaddle;sidesaddle;stock saddle,,,六级词汇
saddle,noun,/ˈsædəl/,羊脊排（尤指羊肉或羔羊肉，包含部分脊椎骨及两侧腰肉）,,saddleback;bicycle seat,,pass | cut | piece of leather | seat | body part | hypernyms:seat;pass;cut;piece of leather;body part | hyponyms:english saddle;packsaddle;sidesaddle;stock saddle,,,六级词汇
salmon,noun,/ˈsæmən/,北方水域中多种大型食用和游钓鱼类；通常从咸水迁徙至淡水繁殖。,,Salmon;Salmon River,,fish | chromatic color | atlantic salmon;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon | hypernyms:food fish;salmonid;fish;chromatic color | hyponyms:atlantic salmon;blackfish;chinook;chum salmon;coho;redfish;sockeye;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon,,,六级词汇
salmon,noun,/ˈsæmən/,浅粉橙色,,Salmon;Salmon River,,fish | chromatic color | atlantic salmon;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon | hypernyms:food fish;salmonid;fish;chromatic color | hyponyms:atlantic salmon;blackfish;chinook;chum salmon;coho;redfish;sockeye;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon,,,六级词汇
salmon,noun,/ˈsæmən/,鲑科鱼类（包括多种海洋或淡水鱼）的肉。,,Salmon;Salmon River,,fish | chromatic color | atlantic salmon;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon | hypernyms:food fish;salmonid;fish;chromatic color | hyponyms:atlantic salmon;blackfish;chinook;chum salmon;coho;redfish;sockeye;chinook salmon;kippered salmon;red salmon;silver salmon;smoked salmon,,,六级词汇
salon,noun,/səˈlɒn/,雅致的会客厅,,beauty salon;beauty parlor;beauty parlour;beauty shop,,shop | living room | hypernyms:gallery;shop;living room,,,六级词汇
salon,noun,/səˈlɒn/,艺术品展示画廊,,beauty salon;beauty parlor;beauty parlour;beauty shop,,shop | living room | hypernyms:gallery;shop;living room,,,六级词汇
salon,noun,/səˈlɒn/,美发美容店,,beauty salon;beauty parlor;beauty parlour;beauty shop,,shop | living room | hypernyms:gallery;shop;living room,,,六级词汇
salute,noun,/səˈluːt/,以友好言辞和鞠躬或脱帽等姿态致意。,,salutation;military greeting,,greeting | hypernyms:recognition;greeting,,,六级词汇
salute,noun,/səˈluːt/,正式军礼,,salutation;military greeting,,greeting | hypernyms:recognition;greeting,,,六级词汇
salute,noun,/səˈluːt/,致敬之举或礼貌的认可；在作曲家生日之际献上的音乐礼赞。,,salutation;military greeting,,greeting | hypernyms:recognition;greeting,,,六级词汇
